Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	cluster
GO Biological Process	GO:0055085	transmembrane transport	1	2.480859e-07	0.002590017	0.002590017	2.126848	23.97915	51	0.08563981	0.1821429	1	6.800938e-09	7.100179e-05	7.100179e-05	2.303926	23.87229	55	888	0.1134021	0.06193694	C1
GO Biological Process	GO:0042853	L-alanine catabolic process	5	2.361115e-05	0.2465004	0.04930008	56.59651	0.0530068	3	0.00018931	0.01071429	23	7.569941e-05	0.7903018	0.03436095	27.89845	0.1075328	3	4	0.006185567	0.75	C1
MSigDB Pathway	PID_INSULIN_PATHWAY	Insulin Pathway	1	5.593457e-06	0.007383363	0.007383363	6.344646	1.576132	10	0.005629044	0.03571429	5	0.0001820173	0.2402628	0.04805257	5.786346	1.209744	7	45	0.01443299	0.1555556	C1
MSigDB Pathway	REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	Genes involved in Transmembrane transport of small molecules	2	8.106064e-06	0.0107	0.005350002	2.587607	10.43435	27	0.03726554	0.09642857	3	6.125603e-06	0.008085796	0.002695265	2.5528	10.96835	28	408	0.05773196	0.06862745	C1
MSigDB Pathway	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	Genes involved in SLC-mediated transmembrane transport	5	7.11e-05	0.093852	0.0187704	2.888716	6.231142	18	0.02225408	0.06428571	4	7.693686e-06	0.01015567	0.002538916	3.112798	6.425087	20	239	0.04123711	0.08368201	C1
MSigDB Pathway	REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	Genes involved in Organic cation/anion/zwitterion transport	7	0.0001194868	0.1577226	0.0225318	16.38779	0.2440842	4	0.0008717293	0.01428571	1	5.350178e-07	0.0007062235	0.0007062235	17.16828	0.3494817	6	13	0.01237113	0.4615385	C1
MSigDB Pathway	REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	Genes involved in Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds	9	0.0001742963	0.2300711	0.02556346	4.193536	2.384622	10	0.008516508	0.03571429	2	4.51718e-06	0.005962678	0.002981339	5.015452	2.392606	12	89	0.02474227	0.1348315	C1
GO Biological Process	GO:0002682	regulation of immune system process	10	1.64421e-09	1.716555e-05	1.716555e-06	2.109103	33.18946	70	0.1008798	0.212766	133	9.286058e-05	0.9694645	0.007289206	1.692402	32.4982	55	1066	0.1	0.05159475	C2
GO Biological Process	GO:0009611	response to wounding	16	6.655159e-08	0.0006947986	4.342491e-05	2.017431	31.22783	63	0.09491742	0.1914894	44	1.133981e-06	0.01183876	0.0002690628	1.919948	30.73	59	1008	0.1072727	0.05853175	C2
GO Biological Process	GO:0030168	platelet activation	20	8.847602e-08	0.0009236896	4.618448e-05	3.514575	7.113235	25	0.02162078	0.07598784	83	9.36477e-06	0.0977682	0.00117793	3.06559	6.524029	20	214	0.03636364	0.09345794	C2
