Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov
GO Biological Process	GO:0002687	positive regulation of leukocyte migration	32	3.228343e-15	3.37039e-11	1.053247e-12	2.931961	24.89801	73	0.006165927	0.01807826	662	0.001704446	1	0.02687978	1.740608	14.93731	26	68	0.006560686	0.3823529
GO Biological Process	GO:0002685	regulation of leukocyte migration	34	7.468837e-15	7.797466e-11	2.293372e-12	2.501667	37.17521	93	0.009206342	0.0230312	362	5.925269e-05	0.6185981	0.001708834	1.83084	20.2093	37	92	0.009336361	0.4021739
GO Biological Process	GO:0002690	positive regulation of leukocyte chemotaxis	44	1.994931e-14	2.082708e-10	4.733427e-12	3.011942	21.91277	66	0.00542664	0.01634473	589	0.001082615	1	0.0191893	1.889659	11.64231	22	53	0.00555135	0.4150943
GO Biological Process	GO:0002688	regulation of leukocyte chemotaxis	55	6.082967e-13	6.350618e-09	1.154658e-10	2.668204	26.60966	71	0.006589811	0.01758296	477	0.0003273201	1	0.007163987	1.909054	13.61931	26	62	0.006560686	0.4193548
GO Biological Process	GO:0050921	positive regulation of chemotaxis	61	1.489716e-12	1.555264e-08	2.549612e-10	2.187289	46.17588	101	0.01143533	0.02501238	265	7.781886e-06	0.08124289	0.0003065769	2.016868	17.35364	35	79	0.008831693	0.443038
GO Biological Process	GO:0048520	positive regulation of behavior	73	4.207796e-12	4.392939e-08	6.017725e-10	2.07764	52.46337	109	0.01299242	0.02699356	260	6.443845e-06	0.06727374	0.0002587452	1.951011	19.98963	39	91	0.00984103	0.4285714
GO Biological Process	GO:0060326	cell chemotaxis	91	4.802038e-11	5.013328e-07	5.509151e-09	2.04468	49.88555	102	0.01235402	0.02526003	753	0.002824479	1	0.03916011	1.530882	24.82229	38	113	0.009588695	0.3362832
GO Biological Process	GO:0071624	positive regulation of granulocyte chemotaxis	110	1.883526e-10	1.966401e-06	1.787637e-08	4.756861	5.46579	26	0.001353588	0.006438831	675	0.001946026	1	0.03009854	2.529089	3.953994	10	18	0.002523341	0.5555556
GO Biological Process	GO:0071679	commissural neuron axon guidance	111	2.002579e-10	2.090692e-06	1.883507e-08	4.571678	5.905928	27	0.001462587	0.006686478	736	0.002502658	1	0.03549966	3.793633	1.317998	5	6	0.00126167	0.8333333
GO Biological Process	GO:0035791	platelet-derived growth factor receptor-beta signaling pathway	122	4.030648e-10	4.207997e-06	3.449177e-08	7.439561	2.285081	17	0.0005658942	0.004210005	736	0.002502658	1	0.03549966	3.793633	1.317998	5	6	0.00126167	0.8333333
