motif	observed	background	percent.observed	percent.background	fold.enrichment	pvalue	motif.name	p.adjust
MA0652.1	1020	1646	32.4015247776366	16.46	1.9685008977908	9.15613491801965e-174	IRF8	6.83047664884266e-171
MA1419.1	876	1420	27.8271918678526	14.2	1.95966139914455	4.27992735220761e-143	IRF4	1.59641290237344e-140
MA0653.1	1140	2125	36.2134688691233	21.25	1.70416324089992	1.83018183181588e-128	IRF9	4.5510521551155e-126
MA0051.1	1180	2272	37.4841168996188	22.72	1.64982908889167	6.51312344266001e-120	IRF2	1.21469752205609e-117
MA0772.1	1216	2416	38.6277001270648	24.16	1.59882864764341	5.1544536333392e-111	IRF7	7.69044482094209e-109
MA0517.1	1836	4263	58.3227445997459	42.63	1.36811505042801	2.66895464371847e-102	STAT1::STAT2	3.31840027368997e-100
MA1418.1	1388	3133	44.0914866581957	31.33	1.40732482151917	9.84325009684409e-76	IRF3	1.04900922460653e-73
MA0050.2	2144	5617	68.1067344345616	56.17	1.21251084982307	5.02537985519023e-61	IRF1	4.68616671496489e-59
MA0107.1	1168	2705	37.1029224904701	27.05	1.37164223624659	1.11289090867905e-51	RELA	9.22462908749525e-50
MA0101.1	1016	2388	32.274459974587	23.88	1.35152679960582	1.64578106364059e-39	REL	1.22775267347588e-37
MA1623.1	1740	4591	55.2731893265565	45.91	1.20394662005133	2.70220543698586e-37	Stat2	1.83258659635586e-35
MA1625.1	980	2453	31.130876747141	24.53	1.26909403779621	6.76373808720718e-25	Stat5b	4.20479051088046e-23
MA0080.5	1904	5307	60.4828462515883	53.07	1.13968053988295	3.49056911016271e-24	SPI1	2.00304965860106e-22
MA0137.3	952	2410	30.2414231257942	24.1	1.25483083509519	4.66085554406693e-22	STAT1	2.48357016848138e-20
MA1622.1	1072	2766	34.0533672172808	27.66	1.23114125875925	5.74701426114633e-22	Smad2::Smad3	2.85818175921011e-20
MA0478.1	992	2531	31.5120711562897	25.31	1.24504429696917	7.92265524535529e-22	FOSL2	3.6939380081469e-20
MA0477.2	912	2299	28.9707750952986	22.99	1.26014680710303	1.26801316822534e-21	FOSL1	5.56434013821239e-20
MA0518.1	1108	2879	35.1969504447268	28.79	1.22254082822948	1.34267510677396e-21	Stat4	5.56464238696319e-20
MA1144.1	820	2037	26.0482846251588	20.37	1.27875722263912	3.13231717266893e-21	FOSL2::JUND	1.22984663726896e-19
MA1138.1	792	1964	25.1588310038119	19.64	1.28099954194562	1.19300438657664e-20	FOSL2::JUNB	4.44990636193088e-19
MA0099.3	900	2301	28.5895806861499	23.01	1.24248503633855	4.49990995326522e-19	FOS::JUN	1.59853944054088e-17
MA0489.1	1000	2599	31.7662007623888	25.99	1.22224704741781	6.43097781430804e-19	JUN(var.2)	2.18068611339718e-17
MA1108.2	636	1547	20.2033036848793	15.47	1.30596662474979	1.93505042654853e-18	MXI1	6.27629399219652e-17
MA1137.1	836	2126	26.5565438373571	21.26	1.2491318832247	3.06024068992565e-18	FOSL1::JUNB	9.51224814451889e-17
MA1134.1	804	2033	25.5400254129606	20.33	1.25627276994396	3.21813889414734e-18	FOS::JUNB	9.60292646013567e-17
MA1135.1	796	2018	25.2858958068615	20.18	1.25301763165815	1.16634720375004e-17	FOSB::JUNB	3.34651928460588e-16
MA0515.1	924	2395	29.3519695044473	23.95	1.2255519626074	1.38988262870577e-17	Sox6	3.84019422597965e-16
MA0818.1	192	369	6.09911054637865	3.69	1.65287548682348	5.75103462541526e-17	BHLHE22	1.53223993948564e-15
MA1640.1	496	1174	15.7560355781449	11.74	1.34208139507196	8.18703221723129e-17	MEIS2(var.2)	2.10604346001881e-15
MA1128.1	928	2420	29.4790343074968	24.2	1.21814191353293	8.85753178602419e-17	FOSL1::JUN	2.14481894604141e-15
MA0619.1	580	1410	18.4243964421855	14.1	1.30669478313372	8.91278650499782e-17	LIN54	2.14481894604141e-15
MA1130.1	880	2289	27.9542566709022	22.89	1.22124319226309	4.15025974801258e-16	FOSL2::JUN	9.67529303755432e-15
MA0144.2	1208	3284	38.3735705209657	32.84	1.16850092938385	1.26119436774673e-15	STAT3	2.85106363133049e-14
MA1420.1	500	1200	15.8831003811944	12	1.32359169843287	1.34002401321573e-15	IRF5	2.94017033487922e-14
MA1141.1	956	2530	30.3684879288437	25.3	1.20033549125864	3.12265530168085e-15	FOS::JUND	6.65571672872547e-14
MA0836.2	520	1262	16.5184243964422	12.62	1.30890843077989	3.81173920820778e-15	CEBPD	7.8987706925639e-14
MA0835.2	956	2532	30.3684879288437	25.32	1.19938735895907	4.03848699854657e-15	BATF3	8.14246297544796e-14
MA0668.1	180	352	5.71791613722999	3.52	1.62440799353125	5.04504788147692e-15	NEUROD2	9.9042255778468e-14
MA0623.2	192	382	6.09911054637865	3.82	1.59662579748132	5.57869785672381e-15	NEUROG1	1.06710476951691e-13
MA0490.2	736	1886	23.3799237611182	18.86	1.23965661511761	6.97671178381711e-15	JUNB	1.30115674768189e-13
MA0462.2	984	2621	31.2579415501906	26.21	1.19259601488709	7.78391666868707e-15	BATF::JUN	1.41629313044892e-13
MA0150.2	856	2242	27.1918678526048	22.42	1.21283977933117	1.07553294098308e-14	Nfe2l2	1.91035136660329e-13
MA0062.3	1476	4131	46.8869123252859	41.31	1.13500150872152	1.13226882008363e-14	GABPA	1.96435474367996e-13
MA1113.2	488	1179	15.5019059720457	11.79	1.3148351121328	1.30835943241108e-14	PBX2	2.21826394676969e-13
MA1634.1	976	2602	31.0038119440915	26.02	1.19153773805117	1.45066270119012e-14	BATF	2.40487638908407e-13
MA1629.1	1516	4260	48.1575603557814	42.6	1.13045916328125	1.73156260065701e-14	Zic2	2.76972088111194e-13
MA1142.1	804	2092	25.5400254129606	20.92	1.22084251495988	1.74499841035203e-14	FOSL1::JUND	2.76972088111194e-13
MA0491.2	724	1859	22.9987293519695	18.59	1.23715596298921	2.19440092864986e-14	JUND	3.41046477660999e-13
MA1559.1	1096	2978	34.8157560355781	29.78	1.16909859085219	7.58540302298636e-14	SNAI3	1.15483890921384e-12
MA1468.1	308	694	9.78398983481576	6.94	1.40979680616942	1.00027442864816e-13	ATOH7	1.49240944754306e-12
MA0830.2	1412	3953	44.853875476493	39.53	1.134679369504	1.1124123857419e-13	TCF4	1.62717576424207e-12
MA0841.1	700	1801	22.2363405336722	18.01	1.23466632613394	1.19624694585728e-13	NFE2	1.70705928917985e-12
MA1570.1	232	494	7.36975857687421	4.94	1.49185396293	1.21279011161571e-13	TFAP4(var.2)	1.70705928917985e-12
MA1558.1	1196	3292	37.992376111817	32.92	1.15408189890088	2.07882768172585e-13	SNAI1	2.87186194549534e-12
MA0700.2	352	819	11.1817026683609	8.19	1.36528726109412	3.35503236079255e-13	LHX2	4.51233898040447e-12
MA0519.1	960	2580	30.4955527318933	25.8	1.18199816790284	3.38727859118834e-13	Stat5a::Stat5b	4.51233898040447e-12
MA0890.1	316	722	10.0381194409149	7.22	1.39032125220428	4.11218093935737e-13	GBX2	5.38190698379052e-12
MA0866.1	420	1011	13.3418043202033	10.11	1.31966412662743	7.00708622630623e-13	SOX21	9.01256262900767e-12
MA1132.1	704	1835	22.3634053367217	18.35	1.21871418728729	2.41652012486759e-12	JUN::JUNB	3.05546442906986e-11
MA0880.1	308	711	9.78398983481576	7.11	1.37608858436227	3.89297129268895e-12	Dlx3	4.84026097390993e-11
MA0496.3	1328	3732	42.1855146124524	37.32	1.13037284599283	6.43873469684365e-12	MAFK	7.87425587515633e-11
MA0820.1	792	2104	25.1588310038119	21.04	1.19576192983897	7.47994608431221e-12	FIGLA	8.97863729011137e-11
MA0501.1	796	2116	25.2858958068615	21.16	1.19498562414279	7.58249529861952e-12	MAF::NFE2	8.97863729011137e-11
MA1508.1	1528	4359	48.5387547649301	43.59	1.11352958855082	8.38314713919987e-12	IKZF1	9.77160588412985e-11
MA0606.1	844	2261	26.8106734434562	22.61	1.18578829913561	9.55487462940844e-12	NFAT5	1.09660561131365e-10
MA0018.4	632	1636	20.0762388818297	16.36	1.22715396588201	1.13787543796064e-11	CREB1	1.2861440556343e-10
MA0745.2	1000	2736	31.7662007623888	27.36	1.16104534950252	1.75263694871125e-11	SNAI2	1.95144352796805e-10
MA0476.1	916	2491	29.0978398983482	24.91	1.16811882369924	4.53028027980654e-11	FOS	4.96998395402306e-10
MA1527.1	952	2603	30.2414231257942	26.03	1.16179113045694	6.44410987850736e-11	NFIC(var.2)	6.96711010053114e-10
MA0640.2	1480	4232	47.0139771283354	42.32	1.11091628375084	7.51717678348121e-11	ELF3	8.01116268639569e-10
MA0035.4	348	840	11.0546378653113	8.4	1.31602831729897	1.34414954846236e-10	GATA1	1.41230361007454e-09
MA0787.1	552	1422	17.5349428208386	14.22	1.23311834183113	1.40148013032841e-10	POU3F2	1.45208913503471e-09
MA0784.1	608	1587	19.3138500635324	15.87	1.21700378472164	1.7560741650931e-10	POU1F1	1.79456346186227e-09
MA0687.1	1012	2797	32.1473951715375	27.97	1.14935270545361	2.18805683855448e-10	SPIC	2.20579783994816e-09
MA0817.1	184	398	5.84498094027954	3.98	1.46858817594963	2.42009826255027e-10	BHLHE23	2.40719107181667e-09
MA0788.1	552	1427	17.5349428208386	14.27	1.2287976749011	2.7140308897376e-10	POU3F3	2.66403558387401e-09
MA0461.2	192	421	6.09911054637865	4.21	1.44871984474552	4.01442264576429e-10	Atoh1	3.88929778407813e-09
MA0655.1	640	1692	20.3303684879288	16.92	1.20155842127239	6.73252455133268e-10	JDP2	6.43905553242843e-09
MA1647.1	1016	2821	32.274459974587	28.21	1.1440786945972	6.95057861288637e-10	PRDM4	6.56345777875093e-09
MA1633.1	1004	2787	31.8932655654384	27.87	1.14435829083023	8.90210060391717e-10	BACH1	8.30120881315276e-09
MA0785.1	532	1380	16.8996188055909	13.8	1.22461005837615	1.15482228827359e-09	POU2F1	1.06357707043469e-08
MA0737.1	628	1667	19.9491740787802	16.67	1.19671110250631	2.26602574163679e-09	GLIS3	2.0615307356842e-08
MA0764.2	1608	4675	51.0800508259212	46.75	1.0926214080411	2.34680491369978e-09	ETV4	2.10659088099049e-08
MA0488.1	616	1632	19.5679796696315	16.32	1.19901836210977	2.37203262738876e-09	JUN	2.10659088099049e-08
