motif	observed	background	percent.observed	percent.background	fold.enrichment	pvalue	motif.name	p.adjust
MA1419.1	1196	1368	31.3746065057712	13.68	2.29346538784878	0	IRF4	0
MA0652.1	1280	1569	33.5781741867786	15.69	2.14010033057862	0	IRF8	0
MA0653.1	1532	2047	40.1888772298006	20.47	1.96330616657551	6.79605082217885e-318	IRF9	1.68995130444847e-315
MA0772.1	1652	2382	43.3368310598111	23.82	1.81934639209954	1.27062149042143e-278	IRF7	2.36970907963597e-276
MA0051.1	1520	2268	39.8740818467996	22.68	1.75811648354496	2.64646567527765e-223	IRF2	3.94852678751425e-221
MA0517.1	2276	4239	59.7061909758657	42.39	1.40849707421245	5.46584761972031e-167	STAT1::STAT2	6.79587054051892e-165
MA1418.1	1732	3088	45.4354669464848	30.88	1.47135579489912	3.92558073046055e-133	IRF3	4.18354746417653e-131
MA0050.2	2652	5607	69.5697796432319	56.07	1.24076653545982	3.79717995385487e-103	IRF1	3.54087030696966e-101
MA1623.1	2236	4583	58.6568730325289	45.83	1.27987940284811	3.58789992089227e-91	Stat2	2.97397037887293e-89
MA0107.1	1380	2633	36.2014690451207	26.33	1.37491337049452	3.74527844129398e-68	RELA	2.79397771720531e-66
MA0101.1	1252	2413	32.8436516264428	24.13	1.36111279015511	1.52998993629925e-56	REL	1.03761135679931e-54
MA1420.1	684	1187	17.9433368310598	11.87	1.51165432443638	8.71621603575716e-48	IRF5	5.4185809688957e-46
MA0508.3	1720	3854	45.1206715634837	38.54	1.17074913242044	2.21317876481848e-26	PRDM1	1.27002412196507e-24
MA0778.1	1124	2375	29.485834207765	23.75	1.241508808748	5.84368109694295e-26	NFKB2	3.11384721308531e-24
MA0519.1	1192	2549	31.2696747114376	25.49	1.22674282900893	3.1342475856077e-25	Stat5a::Stat5b	1.55876579924223e-23
MA0619.1	692	1362	18.1532004197272	13.62	1.3328340983647	8.51262642567623e-25	LIN54	3.96901207097154e-23
MA1509.1	300	509	7.86988457502623	5.09	1.5461462819305	1.42573933063866e-22	IRF6	6.25647965092023e-21
