Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	group
GO Biological Process	GO:0034340	response to type I interferon	1	2.107172e-38	2.199888e-34	2.199888e-34	7.567399	9.514498	72	0.00294749	0.02230483	82	7.313814e-05	0.7635622	0.009311734	3.254149	4.302201	14	66	0.01190476	0.2121212	IFN1
GO Biological Process	GO:0060337	type I interferon-mediated signaling pathway	2	3.255586e-35	3.398832e-31	1.699416e-31	7.238842	9.393768	68	0.002910089	0.02106568	121	0.0002082071	1	0.01796432	3.116138	4.171831	13	64	0.01105442	0.203125	IFN1
GO Biological Process	GO:0071357	cellular response to type I interferon	3	3.396748e-35	3.546205e-31	1.182068e-31	7.23363	9.400536	68	0.002912186	0.02106568	131	0.0002449454	1	0.01952084	3.068197	4.237016	13	65	0.01105442	0.2	IFN1
GO Biological Process	GO:0071345	cellular response to cytokine stimulus	6	1.885461e-31	1.968421e-27	3.280702e-28	2.251579	111.9215	252	0.03467208	0.07806691	14	1.5495e-07	0.001617678	0.0001155484	2.045465	28.35541	58	435	0.04931973	0.1333333	IFN1
GO Biological Process	GO:0034097	response to cytokine stimulus	7	2.232999e-31	2.331251e-27	3.330359e-28	2.073855	144.6582	300	0.04481356	0.0929368	9	4.171113e-08	0.0004354642	4.838491e-05	1.987023	34.22205	68	525	0.05782313	0.1295238	IFN1
GO Biological Process	GO:0009615	response to virus	10	1.204056e-27	1.257034e-23	1.257034e-24	2.763361	55.00547	152	0.01704011	0.04708798	72	3.727856e-05	0.3891882	0.005405391	2.086374	16.29621	34	250	0.02891156	0.136	IFN1
GO Biological Process	GO:0019221	cytokine-mediated signaling pathway	11	1.970474e-25	2.057175e-21	1.870159e-22	2.390154	75.30895	180	0.02332991	0.05576208	26	9.553915e-07	0.009974287	0.0003836264	2.150606	20.92434	45	321	0.03826531	0.1401869	IFN1
GO Biological Process	GO:0030195	negative regulation of blood coagulation	18	8.521589e-21	8.896539e-17	4.942522e-18	6.197532	7.099601	44	0.002199381	0.01363073	154	0.0003898182	1	0.02642664	3.835247	2.346655	9	36	0.007653061	0.25	IFN1
GO Biological Process	GO:0060396	growth hormone receptor signaling pathway	25	2.050427e-19	2.140646e-15	8.562583e-17	4.436793	12.62173	56	0.003910077	0.0173482	75	4.589331e-05	0.4791262	0.006388349	4.931031	1.825176	9	28	0.007653061	0.3214286	IFN1
GO Biological Process	GO:0071378	cellular response to growth hormone stimulus	26	2.646166e-19	2.762597e-15	1.062537e-16	4.411026	12.69546	56	0.003932918	0.0173482	81	6.271571e-05	0.654752	0.008083358	4.760996	1.890361	9	29	0.007653061	0.3103448	IFN1
GO Biological Process	GO:0050819	negative regulation of coagulation	27	2.673831e-19	2.79148e-15	1.033881e-16	5.136596	9.344709	48	0.002894891	0.01486989	118	0.0001865637	1	0.01650614	3.835247	2.607394	10	40	0.008503401	0.25	IFN1
GO Biological Process	GO:0060397	JAK-STAT cascade involved in growth hormone signaling pathway	30	2.148831e-18	2.24338e-14	7.477932e-16	4.867658	9.861006	48	0.003054834	0.01486989	98	0.0001266098	1	0.01348782	4.909116	1.629621	8	25	0.006802721	0.32	IFN1
GO Biological Process	GO:0060333	interferon-gamma-mediated signaling pathway	31	2.24542e-18	2.344218e-14	7.561995e-16	3.952859	15.17889	60	0.004702257	0.01858736	97	0.0001248532	1	0.01343781	3.269391	3.976276	13	61	0.01105442	0.2131148	IFN1
GO Biological Process	GO:0002685	regulation of leukocyte migration	38	1.963344e-16	2.049731e-12	5.394029e-14	2.826563	29.71807	84	0.009206342	0.0260223	29	1.499359e-06	0.01565331	0.0005397692	3.334997	5.997007	20	92	0.0170068	0.2173913	IFN1
GO Biological Process	GO:0060416	response to growth hormone stimulus	42	5.257589e-16	5.488923e-12	1.306886e-13	3.690754	15.17305	56	0.00470045	0.0173482	130	0.0002443771	1	0.01962536	4.060849	2.216285	9	34	0.007653061	0.2647059	IFN1
GO Biological Process	GO:0034341	response to interferon-gamma	44	6.417547e-16	6.699919e-12	1.522709e-13	2.85098	28.06053	80	0.008692852	0.02478315	83	7.359498e-05	0.7683316	0.009257007	2.761378	6.518486	18	100	0.01530612	0.18	IFN1
GO Biological Process	GO:0071346	cellular response to interferon-gamma	61	2.706742e-14	2.825839e-10	4.632522e-12	2.929859	23.20931	68	0.007189996	0.02106568	127	0.0002383222	1	0.01959121	2.806278	5.345158	15	82	0.0127551	0.1829268	IFN1
GO Biological Process	GO:0007259	JAK-STAT cascade	71	1.893977e-13	1.977312e-09	2.784946e-11	3.188614	17.56249	56	0.005440672	0.0173482	133	0.0002522216	1	0.01979845	3.443895	3.194058	11	49	0.009353741	0.2244898	IFN1
GO Biological Process	GO:0090025	regulation of monocyte chemotaxis	89	5.68074e-12	5.930693e-08	6.6637e-10	5.174094	5.411575	28	0.001676448	0.008674102	104	0.0001443235	1	0.01448786	6.574708	0.912588	6	14	0.005102041	0.4285714	IFN1
GO Biological Process	GO:0014048	regulation of glutamate secretion	109	3.896773e-11	4.068231e-07	3.732322e-09	4.751963	5.892302	28	0.001825372	0.008674102	33	2.910262e-06	0.03038314	0.0009207011	8.948909	0.7822183	7	12	0.005952381	0.5833333	IFN1
GO Biological Process	GO:0002902	regulation of B cell apoptotic process	114	4.99571e-11	5.215521e-07	4.575019e-09	5.517604	4.349714	24	0.001347495	0.007434944	126	0.000227295	1	0.01883301	6.136395	0.9777729	6	15	0.005102041	0.4	IFN1
GO Biological Process	GO:0002688	regulation of leukocyte chemotaxis	131	2.434726e-10	2.541854e-06	1.940347e-08	2.63258	21.27191	56	0.006589811	0.0173482	107	0.00014867	1	0.01450575	3.216658	4.041461	13	62	0.01105442	0.2096774	IFN1
GO Biological Process	GO:0002699	positive regulation of immune effector process	132	2.741485e-10	2.86211e-06	2.168265e-08	2.188072	36.56187	80	0.01132648	0.02478315	156	0.0004517331	1	0.03023137	2.401198	7.496259	18	115	0.01530612	0.1565217	IFN1
GO Biological Process	GO:0031581	hemidesmosome assembly	133	3.111089e-10	3.247977e-06	2.442088e-08	6.155159	3.249307	20	0.001006601	0.006195787	77	4.974428e-05	0.5193303	0.006744549	7.670493	0.7822183	6	12	0.005102041	0.5	IFN1
GO Biological Process	GO:0051955	regulation of amino acid transport	134	3.380782e-10	3.529536e-06	2.633982e-08	3.834904	8.344408	32	0.002585009	0.009913259	48	7.724937e-06	0.08064834	0.001680174	6.818216	1.173327	8	18	0.006802721	0.4444444	IFN1
GO Biological Process	GO:0002903	negative regulation of B cell apoptotic process	144	5.486611e-10	5.728022e-06	3.977793e-08	5.951897	3.360273	20	0.001040977	0.006195787	93	0.0001178305	1	0.01322742	8.52277	0.5866637	5	9	0.004251701	0.5555556	IFN1
GO Biological Process	GO:0071222	cellular response to lipopolysaccharide	151	7.58646e-10	7.920264e-06	5.245208e-08	2.187872	34.73695	76	0.01076114	0.02354399	116	0.000184691	1	0.01662219	2.661192	6.388116	17	98	0.01445578	0.1734694	IFN1
GO Biological Process	GO:0071219	cellular response to molecule of bacterial origin	160	1.424907e-09	1.487603e-05	9.297518e-08	2.15547	35.25913	76	0.0109229	0.02354399	147	0.0003413453	1	0.02424248	2.532007	6.71404	17	103	0.01445578	0.1650485	IFN1
GO Biological Process	GO:0071216	cellular response to biotic stimulus	161	1.535035e-09	1.602577e-05	9.953892e-08	2.104109	38.02084	80	0.01177845	0.02478315	156	0.0004517331	1	0.03023137	2.401198	7.496259	18	115	0.01530612	0.1565217	IFN1
GO Biological Process	GO:0051957	positive regulation of amino acid transport	187	6.100781e-09	6.369215e-05	3.405998e-07	5.148213	3.884843	20	0.001203483	0.006195787	93	0.0001178305	1	0.01322742	8.52277	0.5866637	5	9	0.004251701	0.5555556	IFN1
GO Biological Process	GO:0050818	regulation of coagulation	189	6.443721e-09	6.727245e-05	3.559389e-07	2.394354	23.38835	56	0.007245462	0.0173482	170	0.0006027256	1	0.03701444	2.808913	4.628125	13	71	0.01105442	0.1830986	IFN1
GO Biological Process	GO:0044070	regulation of anion transport	295	2.865956e-07	0.002992058	1.014257e-05	2.382849	18.46529	44	0.005720351	0.01363073	114	0.0001781719	1	0.0163168	3.347124	3.585167	12	55	0.01020408	0.2181818	IFN1
GO Biological Process	GO:0014050	negative regulation of glutamate secretion	312	4.195268e-07	0.00437986	1.403801e-05	4.8501	3.298901	16	0.001021964	0.004956629	129	0.0002422652	1	0.01960658	10.22732	0.3911091	4	6	0.003401361	0.6666667	IFN1
GO Biological Process	GO:0032890	regulation of organic acid transport	326	6.562801e-07	0.006851564	2.101707e-05	2.421308	16.52	40	0.005117719	0.01239157	118	0.0001865637	1	0.01650614	3.835247	2.607394	10	40	0.008503401	0.25	IFN1
GO Biological Process	GO:0071526	semaphorin-plexin signaling pathway	405	4.215238e-06	0.04400708	0.0001086595	2.503144	12.78392	32	0.003960323	0.009913259	162	0.0005019652	1	0.03234887	5.414466	1.108143	6	17	0.005102041	0.3529412	IFN1
GO Biological Process	GO:0050871	positive regulation of B cell activation	476	1.091956e-05	0.1140002	0.0002394962	2.060178	21.35738	44	0.006616288	0.01363073	179	0.000847928	1	0.04945457	3.013408	3.650352	11	56	0.009353741	0.1964286	IFN1
GO Biological Process	GO:0001821	histamine secretion	487	1.298079e-05	0.1355194	0.000278274	3.685121	4.341784	16	0.001345039	0.004956629	164	0.0005360331	1	0.03412308	8.766278	0.456294	4	7	0.003401361	0.5714286	IFN1
MSigDB Pathway	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Genes involved in Interferon alpha/beta signaling	1	1.236557e-37	1.632255e-34	1.632255e-34	7.951612	8.551726	68	0.002649233	0.02106568	8	0.0001762925	0.2327061	0.02908826	3.1656	4.106646	13	63	0.01105442	0.2063492	IFN1
MSigDB Pathway	REACTOME_INTERFERON_SIGNALING	Genes involved in Interferon Signaling	3	6.052274e-25	7.989002e-22	2.663001e-22	3.316744	31.35605	104	0.00971377	0.03221809	6	5.922255e-05	0.07817377	0.01302896	2.390803	10.03847	24	154	0.02040816	0.1558442	IFN1
MSigDB Pathway	REACTOME_INTERFERON_GAMMA_SIGNALING	Genes involved in Interferon gamma signaling	4	2.187502e-21	2.887503e-18	7.218757e-19	4.319409	14.81684	64	0.004590099	0.01982652	2	2.365106e-05	0.0312194	0.0156097	3.579563	3.911091	14	60	0.01190476	0.2333333	IFN1
