Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Ontology2	group
GO Biological Process	GO:0034340	response to type I interferon	1	2.107172e-38	2.199888e-34	2.199888e-34	7.567399	9.514498	72	0.00294749	0.02230483	82	7.313814e-05	0.7635622	0.009311734	3.254149	4.302201	14	66	0.01190476	0.2121212	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Genes involved in Interferon alpha/beta signaling	1	1.236557e-37	1.632255e-34	1.632255e-34	7.951612	8.551726	68	0.002649233	0.02106568	8	0.0001762925	0.2327061	0.02908826	3.1656	4.106646	13	63	0.01105442	0.2063492	MSigDB Pathway	IFN1
GO Biological Process	GO:0060337	type I interferon-mediated signaling pathway	2	3.255586e-35	3.398832e-31	1.699416e-31	7.238842	9.393768	68	0.002910089	0.02106568	121	0.0002082071	1	0.01796432	3.116138	4.171831	13	64	0.01105442	0.203125	GO Biological Process	IFN1
GO Biological Process	GO:0071357	cellular response to type I interferon	3	3.396748e-35	3.546205e-31	1.182068e-31	7.23363	9.400536	68	0.002912186	0.02106568	131	0.0002449454	1	0.01952084	3.068197	4.237016	13	65	0.01105442	0.2	GO Biological Process	IFN1
GO Biological Process	GO:0071345	cellular response to cytokine stimulus	6	1.885461e-31	1.968421e-27	3.280702e-28	2.251579	111.9215	252	0.03467208	0.07806691	14	1.5495e-07	0.001617678	0.0001155484	2.045465	28.35541	58	435	0.04931973	0.1333333	GO Biological Process	IFN1
GO Biological Process	GO:0034097	response to cytokine stimulus	7	2.232999e-31	2.331251e-27	3.330359e-28	2.073855	144.6582	300	0.04481356	0.0929368	9	4.171113e-08	0.0004354642	4.838491e-05	1.987023	34.22205	68	525	0.05782313	0.1295238	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_REGULATION_OF_IFNA_SIGNALING	Genes involved in Regulation of IFNA signaling	2	1.243444e-29	1.641346e-26	8.20673e-27	12.31107	3.24911	40	0.00100654	0.01239157	31	0.00368455	1	0.1568905	3.835247	1.564437	6	24	0.005102041	0.25	MSigDB Pathway	IFN1
GO Biological Process	GO:0009615	response to virus	10	1.204056e-27	1.257034e-23	1.257034e-24	2.763361	55.00547	152	0.01704011	0.04708798	72	3.727856e-05	0.3891882	0.005405391	2.086374	16.29621	34	250	0.02891156	0.136	GO Biological Process	IFN1
GO Biological Process	GO:0019221	cytokine-mediated signaling pathway	11	1.970474e-25	2.057175e-21	1.870159e-22	2.390154	75.30895	180	0.02332991	0.05576208	26	9.553915e-07	0.009974287	0.0003836264	2.150606	20.92434	45	321	0.03826531	0.1401869	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_INTERFERON_SIGNALING	Genes involved in Interferon Signaling	3	6.052274e-25	7.989002e-22	2.663001e-22	3.316744	31.35605	104	0.00971377	0.03221809	6	5.922255e-05	0.07817377	0.01302896	2.390803	10.03847	24	154	0.02040816	0.1558442	MSigDB Pathway	IFN1
GO Biological Process	GO:0001507	acetylcholine catabolic process in synaptic cleft	12	6.614595e-24	6.905637e-20	5.754698e-21	65.01835	0.2460844	16	7.623432e-05	0.004956629	1605	0.126124	1	0.8203954	7.670493	0.1303697	1	2	0.0008503401	0.5	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_INTERFERON_GAMMA_SIGNALING	Genes involved in Interferon gamma signaling	4	2.187502e-21	2.887503e-18	7.218757e-19	4.319409	14.81684	64	0.004590099	0.01982652	2	2.365106e-05	0.0312194	0.0156097	3.579563	3.911091	14	60	0.01190476	0.2333333	MSigDB Pathway	IFN1
MSigDB Pathway	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Genes involved in Cytokine Signaling in Immune system	5	6.402311e-21	8.451051e-18	1.69021e-18	2.2869	69.96372	160	0.02167401	0.04956629	1	4.182232e-06	0.005520546	0.005520546	2.191569	17.33917	38	266	0.03231293	0.1428571	MSigDB Pathway	IFN1
GO Biological Process	GO:0030195	negative regulation of blood coagulation	18	8.521589e-21	8.896539e-17	4.942522e-18	6.197532	7.099601	44	0.002199381	0.01363073	154	0.0003898182	1	0.02642664	3.835247	2.346655	9	36	0.007653061	0.25	GO Biological Process	IFN1
GO Biological Process	GO:2000474	regulation of opioid receptor signaling pathway	20	1.222181e-20	1.275957e-16	6.379785e-18	102.4679	0.1171099	12	3.627939e-05	0.003717472	1605	0.126124	1	0.8203954	7.670493	0.1303697	1	2	0.0008503401	0.5	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_REGULATION_OF_IFNG_SIGNALING	Genes involved in Regulation of IFNG signaling	6	1.363903e-20	1.800352e-17	3.000587e-18	7.911404	4.550393	36	0.001409663	0.01115242	17	0.00096545	1	0.07496435	5.900379	0.8474031	5	13	0.004251701	0.3846154	MSigDB Pathway	IFN1
GO Biological Process	GO:0060338	regulation of type I interferon-mediated signaling pathway	21	1.457272e-20	1.521392e-16	7.244724e-18	6.108584	7.202979	44	0.002231406	0.01363073	442	0.009016884	1	0.212978	2.902349	2.41184	7	37	0.005952381	0.1891892	GO Biological Process	IFN1
GO Biological Process	GO:0060334	regulation of interferon-gamma-mediated signaling pathway	22	7.755812e-20	8.097068e-16	3.680485e-17	6.538186	6.117905	40	0.001895262	0.01239157	310	0.00368455	1	0.1240861	3.835247	1.564437	6	24	0.005102041	0.25	GO Biological Process	IFN1
GO Biological Process	GO:0060330	regulation of response to interferon-gamma	23	8.208423e-20	8.569594e-16	3.72591e-17	6.527324	6.128086	40	0.001898416	0.01239157	346	0.004584816	1	0.1383395	3.681837	1.629621	6	25	0.005102041	0.24	GO Biological Process	IFN1
GO Biological Process	GO:0051607	defense response to virus	24	1.815908e-19	1.895808e-15	7.8992e-17	3.195139	26.28994	84	0.008144343	0.0260223	222	0.001514324	1	0.07121416	2.073106	9.647359	20	148	0.0170068	0.1351351	GO Biological Process	IFN1
GO Biological Process	GO:0060396	growth hormone receptor signaling pathway	25	2.050427e-19	2.140646e-15	8.562583e-17	4.436793	12.62173	56	0.003910077	0.0173482	75	4.589331e-05	0.4791262	0.006388349	4.931031	1.825176	9	28	0.007653061	0.3214286	GO Biological Process	IFN1
GO Biological Process	GO:0071378	cellular response to growth hormone stimulus	26	2.646166e-19	2.762597e-15	1.062537e-16	4.411026	12.69546	56	0.003932918	0.0173482	81	6.271571e-05	0.654752	0.008083358	4.760996	1.890361	9	29	0.007653061	0.3103448	GO Biological Process	IFN1
GO Biological Process	GO:0050819	negative regulation of coagulation	27	2.673831e-19	2.79148e-15	1.033881e-16	5.136596	9.344709	48	0.002894891	0.01486989	118	0.0001865637	1	0.01650614	3.835247	2.607394	10	40	0.008503401	0.25	GO Biological Process	IFN1
MSigDB Pathway	PID_IL4_2PATHWAY	IL4-mediated signaling events	7	9.530616e-19	1.258041e-15	1.797202e-16	3.630274	18.73137	68	0.005802778	0.02106568	4	3.508199e-05	0.04630823	0.01157706	3.464094	4.041461	14	62	0.01190476	0.2258065	MSigDB Pathway	IFN1
MSigDB Pathway	REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	Genes involved in Growth hormone receptor signaling	8	1.903984e-18	2.513259e-15	3.141574e-16	4.88297	9.830082	48	0.003045255	0.01486989	7	9.128522e-05	0.1204965	0.01721378	5.113662	1.564437	8	24	0.006802721	0.3333333	MSigDB Pathway	IFN1
GO Biological Process	GO:0060397	JAK-STAT cascade involved in growth hormone signaling pathway	30	2.148831e-18	2.24338e-14	7.477932e-16	4.867658	9.861006	48	0.003054834	0.01486989	98	0.0001266098	1	0.01348782	4.909116	1.629621	8	25	0.006802721	0.32	GO Biological Process	IFN1
GO Biological Process	GO:0060333	interferon-gamma-mediated signaling pathway	31	2.24542e-18	2.344218e-14	7.561995e-16	3.952859	15.17889	60	0.004702257	0.01858736	97	0.0001248532	1	0.01343781	3.269391	3.976276	13	61	0.01105442	0.2131148	GO Biological Process	IFN1
MSigDB Pathway	PID_ATF2_PATHWAY	ATF-2 transcription factor network	10	8.429013e-18	1.11263e-14	1.11263e-15	3.328475	21.63153	72	0.006701216	0.02230483	9	0.0003571784	0.4714755	0.05238617	3.120201	3.845907	12	59	0.01020408	0.2033898	MSigDB Pathway	IFN1
GO Biological Process	GO:0097190	apoptotic signaling pathway	34	9.619619e-17	1.004288e-12	2.953789e-14	2.074617	75.19462	156	0.02329449	0.04832714	228	0.001685942	1	0.0771984	1.73467	18.44731	32	283	0.02721088	0.1130742	GO Biological Process	IFN1
GO Biological Process	GO:0008291	acetylcholine metabolic process	35	1.063976e-16	1.110791e-12	3.173688e-14	22.42702	0.713425	16	0.0002210115	0.004956629	2071	0.1830938	1	0.9229837	5.113662	0.1955546	1	3	0.0008503401	0.3333333	GO Biological Process	IFN1
GO Biological Process	GO:0032800	receptor biosynthetic process	36	1.748429e-16	1.82536e-12	5.070444e-14	21.71167	0.7369309	16	0.0002282934	0.004956629	2787	0.2861419	1	1	3.068197	0.3259243	1	5	0.0008503401	0.2	GO Biological Process	IFN1
GO Biological Process	GO:0002685	regulation of leukocyte migration	38	1.963344e-16	2.049731e-12	5.394029e-14	2.826563	29.71807	84	0.009206342	0.0260223	29	1.499359e-06	0.01565331	0.0005397692	3.334997	5.997007	20	92	0.0170068	0.2173913	GO Biological Process	IFN1
