ERV	delta	p	n_pLOF	n_WT	q
HERVH.int	-0.452380952380952	0.945330237358101	6	14	0.945330237358101
HERVK13.int	-0.285714285714286	0.929861067071859	6	14	0.945330237358101
HERV9N.int	-0.25	0.818771906408588	6	14	0.945330237358101
HERVK9.int	-0.238095238095238	0.801496388028896	6	14	0.945330237358101
HERVKC4.int	-0.214285714285714	0.896237870029274	6	14	0.945330237358101
ERV3.16A3.I.int	-0.19047619047619	0.753018575851393	6	14	0.945330237358101
HERVH48.int	-0.119047619047619	0.680348647521455	6	14	0.945330237358101
HERVIP10B3.int	-0.0952380952380952	0.647738955157201	6	14	0.945330237358101
ERVL.E.int	-0.0238095238095238	0.54780701754386	6	14	0.945330237358101
ERVL47.int	0.0476190476190476	0.446138166384636	6	14	0.847662516130808
HERV15.int	0.0952380952380952	0.386248518716948	6	14	0.815413539513556
ERV24B.Prim.int	0.119047619047619	0.352261044842799	6	14	0.815413539513556
IFN1_ATAC	0.19047619047619	0.273323013415893	6	14	0.74187675070028
IFNG_ATAC	0.214285714285714	0.246981424148607	6	14	0.74187675070028
HERVIP10FH.int	0.238095238095238	0.222084623323013	6	14	0.74187675070028
HERV3.int	0.285714285714286	0.176522187822497	6	14	0.74187675070028
HERVE.a.int	0.333333333333333	0.137022703818369	6	14	0.74187675070028
HERVE.int	0.380952380952381	0.103715170278638	6	14	0.74187675070028
ERV3.16A3.LTR	0.666666666666667	0.0100103199174407	6	14	0.190196078431373
