p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	group
0	-3.00554149377359	0.058	0.219	0	chr1-633720-634509	BAP1 WT
0	4.32364526950663	0.212	0.01	0	chr1-5296725-5298329	BAP1 pLOF
0	1.79218987163822	0.17	0.046	0	chr1-16623829-16624466	BAP1 pLOF
0	2.05110730892266	0.196	0.042	0	chr1-55442584-55444168	BAP1 pLOF
0	1.76739539672855	0.271	0.073	0	chr1-109820986-109822694	BAP1 pLOF
0	2.74693721463367	0.178	0.023	0	chr1-167697175-167698570	BAP1 pLOF
0	1.38320787971055	0.371	0.123	0	chr1-180166925-180168461	BAP1 pLOF
0	1.9722282090258	0.311	0.075	0	chr1-189512599-189513821	BAP1 pLOF
0	2.84835720994896	0.145	0.018	0	chr1-221722680-221724165	BAP1 pLOF
0	1.22295056640372	0.408	0.159	0	chr1-221839164-221842001	BAP1 pLOF
0	1.44316622623248	0.341	0.115	0	chr1-227945984-227947271	BAP1 pLOF
0	-2.66828739321943	0.026	0.121	0	chr1-228457027-228459547	BAP1 WT
0	2.35882422473919	0.295	0.051	0	chr1-230400509-230402368	BAP1 pLOF
0	2.83989654559303	0.134	0.016	0	chr2-19776855-19777621	BAP1 pLOF
0	1.96293489099142	0.207	0.051	0	chr2-46408255-46409996	BAP1 pLOF
0	2.18568529909089	0.23	0.046	0	chr2-95234091-95235508	BAP1 pLOF
0	-1.06521517340591	0.242	0.395	0	chr2-111897484-111899596	BAP1 WT
0	2.51731879174752	0.217	0.034	0	chr2-131511307-131513082	BAP1 pLOF
0	-1.28420195045798	0.13	0.265	0	chr2-176128480-176130857	BAP1 WT
0	-2.25207113914277	0.04	0.169	0	chr2-176187407-176190137	BAP1 WT
0	-0.765134455434431	0.304	0.37	0	chr3-93470240-93470824	BAP1 WT
0	2.45958974227888	0.154	0.026	0	chr3-106332667-106333365	BAP1 pLOF
0	2.7838758181891	0.225	0.029	0	chr3-120615508-120616973	BAP1 pLOF
0	2.53098708844015	0.153	0.024	0	chr3-133970543-133971351	BAP1 pLOF
0	2.17411694205257	0.209	0.042	0	chr3-143307484-143308154	BAP1 pLOF
0	2.04496131165684	0.18	0.04	0	chr3-183544555-183545155	BAP1 pLOF
0	1.34555347410235	0.319	0.117	0	chr3-184582085-184584865	BAP1 pLOF
0	1.93078913960702	0.295	0.069	0	chr3-197494311-197496901	BAP1 pLOF
0	1.62103886263808	0.266	0.076	0	chr4-8100822-8101711	BAP1 pLOF
0	-2.59280496768223	0.027	0.136	0	chr5-93582740-93583218	BAP1 WT
0	2.13906165408022	0.211	0.045	0	chr5-119438257-119439945	BAP1 pLOF
0	1.42650233512024	0.409	0.137	0	chr5-128216132-128218289	BAP1 pLOF
0	1.8478682844094	0.29	0.073	0	chr5-133285293-133286125	BAP1 pLOF
0	2.21736855844405	0.237	0.046	0	chr5-147403511-147404950	BAP1 pLOF
0	1.44637552982382	0.346	0.122	0	chr5-169090975-169092090	BAP1 pLOF
0	1.73480576052157	0.239	0.066	0	chr5-170150847-170152026	BAP1 pLOF
0	2.40220272208471	0.183	0.032	0	chr5-175654625-175655228	BAP1 pLOF
0	2.06335557824291	0.208	0.043	0	chr5-175686904-175687673	BAP1 pLOF
0	2.52838451819591	0.138	0.021	0	chr5-175688982-175689968	BAP1 pLOF
0	1.8234312768131	0.299	0.075	0	chr5-179313982-179314879	BAP1 pLOF
0	3.08959018422819	0.172	0.018	0	chr6-159116845-159118133	BAP1 pLOF
0	2.13082940677046	0.226	0.047	0	chr6-164108050-164109975	BAP1 pLOF
0	1.73771353540152	0.194	0.053	0	chr7-64044487-64046582	BAP1 pLOF
0	-1.75082900660204	0.124	0.311	0	chr7-90210898-90212455	BAP1 WT
0	-2.55820438605562	0.061	0.278	0	chr7-93574158-93576451	BAP1 WT
0	1.79553263741957	0.209	0.056	0	chr7-128093575-128094510	BAP1 pLOF
0	2.9463370263239	0.146	0.018	0	chr7-140213703-140214695	BAP1 pLOF
0	1.74551643019464	0.262	0.071	0	chr7-142375429-142376950	BAP1 pLOF
0	2.75707413800081	0.198	0.026	0	chr8-48191692-48193330	BAP1 pLOF
0	2.09487770609945	0.189	0.04	0	chr8-70804924-70806042	BAP1 pLOF
0	2.86701142829863	0.131	0.017	0	chr10-47031160-47032213	BAP1 pLOF
0	2.39050202925228	0.278	0.048	0	chr11-35274818-35276756	BAP1 pLOF
0	-2.69099686181201	0.061	0.31	0	chr12-72271330-72274246	BAP1 WT
0	-0.775719213804687	0.385	0.503	0	chr12-106954779-106957316	BAP1 WT
0	2.22421203198796	0.215	0.042	0	chr12-107384670-107386130	BAP1 pLOF
0	2.90966248668079	0.203	0.025	0	chr13-99382421-99384078	BAP1 pLOF
0	-2.6496881760395	0.051	0.24	0	chr13-102399532-102402629	BAP1 WT
0	-0.842794614811586	0.405	0.546	0	chr14-23300161-23303033	BAP1 WT
0	-1.74056067688269	0.136	0.353	0	chr14-26596494-26599407	BAP1 WT
0	-0.837792700660646	0.346	0.478	0	chr14-51092918-51096412	BAP1 WT
0	-0.999235646691078	0.247	0.379	0	chr14-66507131-66509602	BAP1 WT
0	-1.29743084772146	0.157	0.286	0	chr14-104735235-104736700	BAP1 WT
0	2.1110814232358	0.194	0.041	0	chr15-27668290-27670186	BAP1 pLOF
0	1.84908968899227	0.309	0.078	0	chr15-70195298-70197235	BAP1 pLOF
0	1.51259779135406	0.279	0.091	0	chr16-11181362-11183716	BAP1 pLOF
0	2.85270126207231	0.173	0.023	0	chr16-15907543-15908753	BAP1 pLOF
0	-1.4281244755247	0.131	0.274	0	chr16-46389254-46390825	BAP1 WT
0	3.16614516312464	0.172	0.017	0	chr16-50591260-50592766	BAP1 pLOF
0	-3.98204676248037	0.011	0.131	0	chr16-66955415-66956010	BAP1 WT
0	2.88946464951606	0.198	0.025	0	chr16-83744090-83745217	BAP1 pLOF
0	2.75939953951604	0.153	0.02	0	chr16-84810364-84811335	BAP1 pLOF
0	1.31070094371191	0.31	0.109	0	chr17-14300454-14303069	BAP1 pLOF
0	-2.99316842123452	0.039	0.156	0	chr17-22521254-22521560	BAP1 WT
0	3.51733308619767	0.119	0.009	0	chr18-75634711-75635580	BAP1 pLOF
0	-1.47722878162734	0.166	0.372	0	chr19-6475344-6477293	BAP1 WT
0	3.06015426160986	0.184	0.02	0	chr19-28171638-28172962	BAP1 pLOF
0	2.69692391551705	0.156	0.022	0	chr20-46603866-46605474	BAP1 pLOF
0	1.42711905051129	0.321	0.111	0	chr20-47123946-47126970	BAP1 pLOF
0	2.9476978980901	0.137	0.016	0	chr21-44946882-44947459	BAP1 pLOF
0	2.08733900780335	0.168	0.034	0	chrX-989565-990683	BAP1 pLOF
0	3.06152669557923	0.138	0.016	0	chrX-2628467-2631190	BAP1 pLOF
0	2.74301003112167	0.194	0.024	0	chrX-73850457-73851878	BAP1 pLOF
0	3.05322446812562	0.165	0.018	0	chrX-131727861-131729922	BAP1 pLOF
0	2.94335423146641	0.131	0.015	0	chrX-131740590-131742288	BAP1 pLOF
0	2.83824684412229	0.125	0.016	0	chrX-131746062-131747979	BAP1 pLOF
0	2.83595991875109	0.128	0.016	0	chrX-131752242-131753705	BAP1 pLOF
0	2.97585665590769	0.15	0.017	0	chrX-131762141-131764066	BAP1 pLOF
0	2.91647785828781	0.139	0.016	0	chrX-131791677-131793717	BAP1 pLOF
4.94065645841247e-324	2.06278217779628	0.253	0.054	2.31533489544938e-318	chr1-205961126-205963210	BAP1 pLOF
2.02566914794911e-322	3.05351944275299	0.146	0.016	9.49287307134244e-317	chr15-43273626-43274579	BAP1 pLOF
6.91049618838152e-320	-1.73833420195415	0.07	0.205	3.23845891826504e-314	chr12-7934139-7936608	BAP1 WT
1.56347073626462e-319	-2.49631640971421	0.044	0.187	7.32687727664955e-314	chr5-138469666-138471068	BAP1 WT
3.57945619755525e-319	1.81019312466481	0.238	0.062	1.67743697840412e-313	chr19-18977678-18979254	BAP1 pLOF
7.26029466563712e-319	1.62563084340395	0.319	0.095	3.40238462886286e-313	chr8-10690586-10692580	BAP1 pLOF
8.81590975813287e-319	2.55034723079211	0.173	0.027	4.13139097404405e-313	chr3-140725083-140725843	BAP1 pLOF
9.60043659716418e-319	-1.61338767789912	0.089	0.24	4.49904300209245e-313	chr2-219551205-219553071	BAP1 WT
6.44800627796598e-318	1.91120964831498	0.209	0.049	3.02172273403692e-312	chr5-132250681-132251753	BAP1 pLOF
1.59296003246795e-317	-2.03854249761318	0.057	0.188	7.46507267055423e-312	chr7-12111140-12112313	BAP1 WT
